Testing size of 20000--------------,,,,Recursion limit (x),20k,40k,60k,80k,100k,200k,400k,500k,550k,600k,670k,700k,800k,1 million,2 million,3 million,4 million,5 million ,6 million,8 million,
22,9,,,,,,,,,,,,,,,,,,,,,,,,
24,9,,,,,,,,,,,,,,,,,,,,,,,,
26,8,,,,,,,,,,,,,,,,,,,,,,,,
28,9,,,,,,,,,,,,,,,,,,,,,,,,
30,13,,,,,,,,,,,,,,,,,,,,,,,,
32,8,,,,,,,,,,,,,,,,,,,,,,,,
34,7,,,,,,,,,,,,,,,,,,,,,,,,
36,8,,,,,,,,,,,,,,,,,,,,,,,,
38,6,,,,,,,,,,,,,,,,,,,,,,,,
40,8,,,,,,,,,,,,,,,,,,,,,,,,
42,9,,,,,,,,,,,,,,,,,,,,,,,,
44,10,,,,,,,,,,,,,,,,,,,,,,,,
46,8,,,,,,,,,,,,,,,,,,,,,,,,
48,10,,,,,,,,,,,,,,,,,,,,,,,,
50,7,,,,,,,,,,,,,,,,,,,,,,,,
52,6,,,,,,,,,,,,,,,,,,,,,,,,
54,5,,,,,,,,,,,,,,,,,,,,,,,,
56,5,,,,,,,,,,,,,,,,,,,,,,,,
58,5,,,,,,,,,,,,,,,,,,,,,,,,
60,5,,,,,,,,,,,,,,,,,,,,,,,,
62,5,,,,,,,,,,,,,,,,,,,,,,,,
64,4,,,,,,,,,,,,,,,,,,,,,,,,
66,5,,,,,,,,,,,,,,,,,,,,,,,,
68,6,,,,,,,,,,,,,,,,,,,,,,,,
70,8,,,,,,,,,,,,,,,,,,,,,,,,
72,12,,,,,,,,,,,,,,,,,,,,,,,,
74,11,,,,,,,,,,,,,,,,,,,,,,,,
76,9,,,,,,,,,,,,,,,,,,,,,,,,
78,7,,,,,,,,,,,,,,,,,,,,,,,,
80,5,,,,,,,,,,,,,,,,,,,,,,,,
82,5,,,,,,,,,,,,,,,,,,,,,,,,
84,5,,,,,,,,,,,,,,,,,,,,,,,,
86,10,,,,,,,,,,,,,,,,,,,,,,,,
88,6,,,,,,,,,,,,,,,,,,,,,,,,
90,5,,,,,,,,,,,,,,,,,,,,,,,,
92,7,,,,,,,,,,,,,,,,,,,,,,,,
94,5,,,,,,,,,,,,,,,,,,,,,,,,
96,7,,,,,,,,,,,,,,,,,,,,,,,,
98,22,,,,,,,,,,,,,,,,,,,,,,,,
100,20,,,,,,,,,,,,,,,,,,,,,,,,
102,22,,,,,,,,,,,,,,,,,,,,,,,,
104,17,,,,,,,,,,,,,,,,,,,,,,,,
106,13,,,,,,,,,,,,,,,,,,,,,,,,
108,11,,,,,,,,,,,,,,,,,,,,,,,,
110,9,,,,,,,,,,,,,,,,,,,,,,,,
112,9,,,,,,,,,,,,,,,,,,,,,,,,
114,6,,,,,,,,,,,,,,,,,,,,,,,,
116,7,,,,,,,,,,,,,,,,,,,,,,,,
118,9,,,,,,,,,,,,,,,,,,,,,,,,
120,10,,,,,,,,,,,,,,,,,,,,,,,,
122,8,,,,,,,,,,,,,,,,,,,,,,,,
124,7,,,,,,,,,,,,,,,,,,,,,,,,
126,5,,,,,,,,,,,,,,,,,,,,,,,,
128,4,,,,,,,,,,,,,,,,,,,,,,,,
130,5,,,,,,,,,,,,,,,,,,,,,,,,
132,4,,,,,,,,,,,,,,,,,,,,,,,,
134,4,,,,,,,,,,,,,,,,,,,,,,,,
136,4,,,,,,,,,,,,,,,,,,,,,,,,
138,4,,,,,,,,,,,,,,,,,,,,,,,,
140,6,,,,,,,,,,,,,,,,,,,,,,,,
142,4,,,,,,,,,,,,,,,,,,,,,,,,
144,5,,,,,,,,,,,,,,,,,,,,,,,,
146,7,,,,,,,,,,,,,,,,,,,,,,,,
148,6,,,,,,,,,,,,,,,,,,,,,,,,
150,5,,,,,,,,,,,,,,,,,,,,,,,,
152,5,,,,,,,,,,,,,,,,,,,,,,,,
154,4,,,,,,,,,,,,,,,,,,,,,,,,
156,5,,,,,,,,,,,,,,,,,,,,,,,,
158,5,,,,,,,,,,,,,,,,,,,,,,,,
160,4,,,,,,,,,,,,,,,,,,,,,,,,
162,4,,,,,,,,,,,,,,,,,,,,,,,,
164,5,,,,,,,,,,,,,,,,,,,,,,,,
166,5,,,,,,,,,,,,,,,,,,,,,,,,
168,5,,,,,,,,,,,,,,,,,,,,,,,,
170,4,,,,,,,,,,,,,,,,,,,,,,,,
172,4,,,,,,,,,,,,,,,,,,,,,,,,
174,4,,,,,,,,,,,,,,,,,,,,,,,,
176,5,,,,,,,,,,,,,,,,,,,,,,,,
178,5,,,,,,,,,,,,,,,,,,,,,,,,
180,4,,,,,,,,,,,,,,,,,,,,,,,,
182,4,,,,,,,,,,,,,,,,,,,,,,,,
184,4,,,,,,,,,,,,,,,,,,,,,,,,
186,4,,,,,,,,,,,,,,,,,,,,,,,,
188,4,,,,,,,,,,,,,,,,,,,,,,,,
190,4,,,,,,,,,,,,,,,,,,,,,,,,
192,4,,,,,,,,,,,,,,,,,,,,,,,,
194,4,,,,,,,,,,,,,,,,,,,,,,,,
196,4,,,,,,,,,,,,,,,,,,,,,,,,
198,4,,,,,,,,,,,,,,,,,,,,,,,,
200,4,,,,,,,,,,,,,,,,,,,,,,,,
202,4,,,,,,,,,,,,,,,,,,,,,,,,
204,4,,,,,,,,,,,,,,,,,,,,,,,,
206,4,,,,,,,,,,,,,,,,,,,,,,,,
208,4,,,,,,,,,,,,,,,,,,,,,,,,
210,4,,,,,,,,,,,,,,,,,,,,,,,,
212,4,,,,,,,,,,,,,,,,,,,,,,,,
214,4,,,,,,,,,,,,,,,,,,,,,,,,
216,4,,,,,,,,,,,,,,,,,,,,,,,,
218,4,,,,,,,,,,,,,,,,,,,,,,,,
220,4,,,,,,,,,,,,,,,,,,,,,,,,
222,4,,,,,,,,,,,,,,,,,,,,,,,,
224,5,,,,,,,,,,,,,,,,,,,,,,,,
226,6,,,,,,,,,,,,,,,,,,,,,,,,
228,5,,,,,,,,,,,,,,,,,,,,,,,,
230,5,,,,,,,,,,,,,,,,,,,,,,,,
232,4,,,,,,,,,,,,,,,,,,,,,,,,
234,4,,,,,,,,,,,,,,,,,,,,,,,,
236,4,,,,,,,,,,,,,,,,,,,,,,,,
238,4,,,,,,,,,,,,,,,,,,,,,,,,
240,5,,,,,,,,,,,,,,,,,,,,,,,,
242,4,,,,,,,,,,,,,,,,,,,,,,,,
244,5,,,,,,,,,,,,,,,,,,,,,,,,
246,5,,,,,,,,,,,,,,,,,,,,,,,,
248,4,,,,,,,,,,,,,,,,,,,,,,,,
250,5,,,,,,,,,,,,,,,,,,,,,,,,
252,5,,,,,,,,,,,,,,,,,,,,,,,,
254,5,,,,,,,,,,,,,,,,,,,,,,,,
256,5,,,,,,,,,,,,,,,,,,,,,,,,
258,5,,,,,,,,,,,,,,,,,,,,,,,,
260,5,,,,,,,,,,,,,,,,,,,,,,,,
262,6,,,,,,,,,,,,,,,,,,,,,,,,
264,6,,,,,,,,,,,,,,,,,,,,,,,,
266,7,,,,,,,,,,,,,,,,,,,,,,,,
268,6,,,,,,,,,,,,,,,,,,,,,,,,
270,5,,,,,,,,,,,,,,,,,,,,,,,,
272,6,,,,,,,,,,,,,,,,,,,,,,,,
274,6,,,,,,,,,,,,,,,,,,,,,,,,
276,5,,,,,,,,,,,,,,,,,,,,,,,,
278,5,,,,,,,,,,,,,,,,,,,,,,,,
280,5,,,,,,,,,,,,,,,,,,,,,,,,
282,5,,,,,,,,,,,,,,,,,,,,,,,,
284,5,,,,,,,,,,,,,,,,,,,,,,,,
286,5,,,,,,,,,,,,,,,,,,,,,,,,
288,5,,,,,,,,,,,,,,,,,,,,,,,,
290,5,,,,,,,,,,,,,,,,,,,,,,,,
292,5,,,,,,,,,,,,,,,,,,,,,,,,
294,5,,,,,,,,,,,,,,,,,,,,,,,,
296,6,,,,,,,,,,,,,,,,,,,,,,,,
298,5,,,,,,,,,,,,,,,,,,,,,,,,
300,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 40000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,,,,,,,,,,,,,,,,,,,,,,,,
4,6,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,
8,6,,,,,,,,,,,,,,,,,,,,,,,,
10,5,,,,,,,,,,,,,,,,,,,,,,,,
12,5,,,,,,,,,,,,,,,,,,,,,,,,
14,6,,,,,,,,,,,,,,,,,,,,,,,,
16,6,,,,,,,,,,,,,,,,,,,,,,,,
18,5,,,,,,,,,,,,,,,,,,,,,,,,
20,5,,,,,,,,,,,,,,,,,,,,,,,,
22,5,,,,,,,,,,,,,,,,,,,,,,,,
24,5,,,,,,,,,,,,,,,,,,,,,,,,
26,5,,,,,,,,,,,,,,,,,,,,,,,,
28,5,,,,,,,,,,,,,,,,,,,,,,,,
30,6,,,,,,,,,,,,,,,,,,,,,,,,
32,5,,,,,,,,,,,,,,,,,,,,,,,,
34,5,,,,,,,,,,,,,,,,,,,,,,,,
36,5,,,,,,,,,,,,,,,,,,,,,,,,
38,5,,,,,,,,,,,,,,,,,,,,,,,,
40,5,,,,,,,,,,,,,,,,,,,,,,,,
42,6,,,,,,,,,,,,,,,,,,,,,,,,
44,5,,,,,,,,,,,,,,,,,,,,,,,,
46,6,,,,,,,,,,,,,,,,,,,,,,,,
48,6,,,,,,,,,,,,,,,,,,,,,,,,
50,7,,,,,,,,,,,,,,,,,,,,,,,,
52,6,,,,,,,,,,,,,,,,,,,,,,,,
54,6,,,,,,,,,,,,,,,,,,,,,,,,
56,6,,,,,,,,,,,,,,,,,,,,,,,,
58,7,,,,,,,,,,,,,,,,,,,,,,,,
60,6,,,,,,,,,,,,,,,,,,,,,,,,
62,6,,,,,,,,,,,,,,,,,,,,,,,,
64,6,,,,,,,,,,,,,,,,,,,,,,,,
66,6,,,,,,,,,,,,,,,,,,,,,,,,
68,6,,,,,,,,,,,,,,,,,,,,,,,,
70,6,,,,,,,,,,,,,,,,,,,,,,,,
72,6,,,,,,,,,,,,,,,,,,,,,,,,
74,6,,,,,,,,,,,,,,,,,,,,,,,,
76,6,,,,,,,,,,,,,,,,,,,,,,,,
78,6,,,,,,,,,,,,,,,,,,,,,,,,
80,7,,,,,,,,,,,,,,,,,,,,,,,,
82,7,,,,,,,,,,,,,,,,,,,,,,,,
84,8,,,,,,,,,,,,,,,,,,,,,,,,
86,7,,,,,,,,,,,,,,,,,,,,,,,,
88,7,,,,,,,,,,,,,,,,,,,,,,,,
90,8,,,,,,,,,,,,,,,,,,,,,,,,
92,6,,,,,,,,,,,,,,,,,,,,,,,,
94,7,,,,,,,,,,,,,,,,,,,,,,,,
96,7,,,,,,,,,,,,,,,,,,,,,,,,
98,7,,,,,,,,,,,,,,,,,,,,,,,,
100,6,,,,,,,,,,,,,,,,,,,,,,,,
102,7,,,,,,,,,,,,,,,,,,,,,,,,
104,6,,,,,,,,,,,,,,,,,,,,,,,,
106,8,,,,,,,,,,,,,,,,,,,,,,,,
108,8,,,,,,,,,,,,,,,,,,,,,,,,
110,7,,,,,,,,,,,,,,,,,,,,,,,,
112,7,,,,,,,,,,,,,,,,,,,,,,,,
114,7,,,,,,,,,,,,,,,,,,,,,,,,
116,7,,,,,,,,,,,,,,,,,,,,,,,,
118,8,,,,,,,,,,,,,,,,,,,,,,,,
120,7,,,,,,,,,,,,,,,,,,,,,,,,
122,8,,,,,,,,,,,,,,,,,,,,,,,,
124,7,,,,,,,,,,,,,,,,,,,,,,,,
126,7,,,,,,,,,,,,,,,,,,,,,,,,
128,8,,,,,,,,,,,,,,,,,,,,,,,,
130,8,,,,,,,,,,,,,,,,,,,,,,,,
132,8,,,,,,,,,,,,,,,,,,,,,,,,
134,7,,,,,,,,,,,,,,,,,,,,,,,,
136,8,,,,,,,,,,,,,,,,,,,,,,,,
138,7,,,,,,,,,,,,,,,,,,,,,,,,
140,8,,,,,,,,,,,,,,,,,,,,,,,,
142,8,,,,,,,,,,,,,,,,,,,,,,,,
144,8,,,,,,,,,,,,,,,,,,,,,,,,
146,7,,,,,,,,,,,,,,,,,,,,,,,,
148,7,,,,,,,,,,,,,,,,,,,,,,,,
150,8,,,,,,,,,,,,,,,,,,,,,,,,
152,7,,,,,,,,,,,,,,,,,,,,,,,,
154,10,,,,,,,,,,,,,,,,,,,,,,,,
156,9,,,,,,,,,,,,,,,,,,,,,,,,
158,8,,,,,,,,,,,,,,,,,,,,,,,,
160,8,,,,,,,,,,,,,,,,,,,,,,,,
162,8,,,,,,,,,,,,,,,,,,,,,,,,
164,8,,,,,,,,,,,,,,,,,,,,,,,,
166,8,,,,,,,,,,,,,,,,,,,,,,,,
168,8,,,,,,,,,,,,,,,,,,,,,,,,
170,8,,,,,,,,,,,,,,,,,,,,,,,,
172,8,,,,,,,,,,,,,,,,,,,,,,,,
174,8,,,,,,,,,,,,,,,,,,,,,,,,
176,8,,,,,,,,,,,,,,,,,,,,,,,,
178,9,,,,,,,,,,,,,,,,,,,,,,,,
180,10,,,,,,,,,,,,,,,,,,,,,,,,
182,11,,,,,,,,,,,,,,,,,,,,,,,,
184,9,,,,,,,,,,,,,,,,,,,,,,,,
186,10,,,,,,,,,,,,,,,,,,,,,,,,
188,9,,,,,,,,,,,,,,,,,,,,,,,,
190,9,,,,,,,,,,,,,,,,,,,,,,,,
192,9,,,,,,,,,,,,,,,,,,,,,,,,
194,9,,,,,,,,,,,,,,,,,,,,,,,,
196,8,,,,,,,,,,,,,,,,,,,,,,,,
198,10,,,,,,,,,,,,,,,,,,,,,,,,
200,9,,,,,,,,,,,,,,,,,,,,,,,,
202,9,,,,,,,,,,,,,,,,,,,,,,,,
204,9,,,,,,,,,,,,,,,,,,,,,,,,
206,10,,,,,,,,,,,,,,,,,,,,,,,,
208,9,,,,,,,,,,,,,,,,,,,,,,,,
210,9,,,,,,,,,,,,,,,,,,,,,,,,
212,9,,,,,,,,,,,,,,,,,,,,,,,,
214,10,,,,,,,,,,,,,,,,,,,,,,,,
216,11,,,,,,,,,,,,,,,,,,,,,,,,
218,9,,,,,,,,,,,,,,,,,,,,,,,,
220,9,,,,,,,,,,,,,,,,,,,,,,,,
222,9,,,,,,,,,,,,,,,,,,,,,,,,
224,9,,,,,,,,,,,,,,,,,,,,,,,,
226,9,,,,,,,,,,,,,,,,,,,,,,,,
228,9,,,,,,,,,,,,,,,,,,,,,,,,
230,10,,,,,,,,,,,,,,,,,,,,,,,,
232,10,,,,,,,,,,,,,,,,,,,,,,,,
234,10,,,,,,,,,,,,,,,,,,,,,,,,
236,9,,,,,,,,,,,,,,,,,,,,,,,,
238,11,,,,,,,,,,,,,,,,,,,,,,,,
240,9,,,,,,,,,,,,,,,,,,,,,,,,
242,9,,,,,,,,,,,,,,,,,,,,,,,,
244,9,,,,,,,,,,,,,,,,,,,,,,,,
246,9,,,,,,,,,,,,,,,,,,,,,,,,
248,9,,,,,,,,,,,,,,,,,,,,,,,,
250,9,,,,,,,,,,,,,,,,,,,,,,,,
252,9,,,,,,,,,,,,,,,,,,,,,,,,
254,9,,,,,,,,,,,,,,,,,,,,,,,,
256,9,,,,,,,,,,,,,,,,,,,,,,,,
258,10,,,,,,,,,,,,,,,,,,,,,,,,
260,10,,,,,,,,,,,,,,,,,,,,,,,,
262,10,,,,,,,,,,,,,,,,,,,,,,,,
264,10,,,,,,,,,,,,,,,,,,,,,,,,
266,10,,,,,,,,,,,,,,,,,,,,,,,,
268,10,,,,,,,,,,,,,,,,,,,,,,,,
270,11,,,,,,,,,,,,,,,,,,,,,,,,
272,10,,,,,,,,,,,,,,,,,,,,,,,,
274,10,,,,,,,,,,,,,,,,,,,,,,,,
276,11,,,,,,,,,,,,,,,,,,,,,,,,
278,10,,,,,,,,,,,,,,,,,,,,,,,,
280,10,,,,,,,,,,,,,,,,,,,,,,,,
282,10,,,,,,,,,,,,,,,,,,,,,,,,
284,10,,,,,,,,,,,,,,,,,,,,,,,,
286,10,,,,,,,,,,,,,,,,,,,,,,,,
288,11,,,,,,,,,,,,,,,,,,,,,,,,
290,11,,,,,,,,,,,,,,,,,,,,,,,,
292,10,,,,,,,,,,,,,,,,,,,,,,,,
294,10,,,,,,,,,,,,,,,,,,,,,,,,
296,10,,,,,,,,,,,,,,,,,,,,,,,,
298,10,,,,,,,,,,,,,,,,,,,,,,,,
300,11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 60000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,,,,,,,,,,,,,
4,9,,,,,,,,,,,,,,,,,,,,,,,,
6,9,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,,,,,,,,,,,,,,,,,,,,,,,
10,8,,,,,,,,,,,,,,,,,,,,,,,,
12,8,,,,,,,,,,,,,,,,,,,,,,,,
14,8,,,,,,,,,,,,,,,,,,,,,,,,
16,8,,,,,,,,,,,,,,,,,,,,,,,,
18,9,,,,,,,,,,,,,,,,,,,,,,,,
20,8,,,,,,,,,,,,,,,,,,,,,,,,
22,8,,,,,,,,,,,,,,,,,,,,,,,,
24,8,,,,,,,,,,,,,,,,,,,,,,,,
26,8,,,,,,,,,,,,,,,,,,,,,,,,
28,8,,,,,,,,,,,,,,,,,,,,,,,,
30,9,,,,,,,,,,,,,,,,,,,,,,,,
32,9,,,,,,,,,,,,,,,,,,,,,,,,
34,9,,,,,,,,,,,,,,,,,,,,,,,,
36,11,,,,,,,,,,,,,,,,,,,,,,,,
38,10,,,,,,,,,,,,,,,,,,,,,,,,
40,9,,,,,,,,,,,,,,,,,,,,,,,,
42,10,,,,,,,,,,,,,,,,,,,,,,,,
44,9,,,,,,,,,,,,,,,,,,,,,,,,
46,9,,,,,,,,,,,,,,,,,,,,,,,,
48,9,,,,,,,,,,,,,,,,,,,,,,,,
50,9,,,,,,,,,,,,,,,,,,,,,,,,
52,10,,,,,,,,,,,,,,,,,,,,,,,,
54,9,,,,,,,,,,,,,,,,,,,,,,,,
56,9,,,,,,,,,,,,,,,,,,,,,,,,
58,9,,,,,,,,,,,,,,,,,,,,,,,,
60,9,,,,,,,,,,,,,,,,,,,,,,,,
62,9,,,,,,,,,,,,,,,,,,,,,,,,
64,9,,,,,,,,,,,,,,,,,,,,,,,,
66,9,,,,,,,,,,,,,,,,,,,,,,,,
68,9,,,,,,,,,,,,,,,,,,,,,,,,
70,9,,,,,,,,,,,,,,,,,,,,,,,,
72,9,,,,,,,,,,,,,,,,,,,,,,,,
74,10,,,,,,,,,,,,,,,,,,,,,,,,
76,9,,,,,,,,,,,,,,,,,,,,,,,,
78,9,,,,,,,,,,,,,,,,,,,,,,,,
80,10,,,,,,,,,,,,,,,,,,,,,,,,
82,10,,,,,,,,,,,,,,,,,,,,,,,,
84,10,,,,,,,,,,,,,,,,,,,,,,,,
86,10,,,,,,,,,,,,,,,,,,,,,,,,
88,11,,,,,,,,,,,,,,,,,,,,,,,,
90,10,,,,,,,,,,,,,,,,,,,,,,,,
92,10,,,,,,,,,,,,,,,,,,,,,,,,
94,10,,,,,,,,,,,,,,,,,,,,,,,,
96,10,,,,,,,,,,,,,,,,,,,,,,,,
98,10,,,,,,,,,,,,,,,,,,,,,,,,
100,10,,,,,,,,,,,,,,,,,,,,,,,,
102,10,,,,,,,,,,,,,,,,,,,,,,,,
104,10,,,,,,,,,,,,,,,,,,,,,,,,
106,11,,,,,,,,,,,,,,,,,,,,,,,,
108,10,,,,,,,,,,,,,,,,,,,,,,,,
110,10,,,,,,,,,,,,,,,,,,,,,,,,
112,10,,,,,,,,,,,,,,,,,,,,,,,,
114,10,,,,,,,,,,,,,,,,,,,,,,,,
116,11,,,,,,,,,,,,,,,,,,,,,,,,
118,11,,,,,,,,,,,,,,,,,,,,,,,,
120,11,,,,,,,,,,,,,,,,,,,,,,,,
122,11,,,,,,,,,,,,,,,,,,,,,,,,
124,10,,,,,,,,,,,,,,,,,,,,,,,,
126,12,,,,,,,,,,,,,,,,,,,,,,,,
128,11,,,,,,,,,,,,,,,,,,,,,,,,
130,11,,,,,,,,,,,,,,,,,,,,,,,,
132,11,,,,,,,,,,,,,,,,,,,,,,,,
134,11,,,,,,,,,,,,,,,,,,,,,,,,
136,11,,,,,,,,,,,,,,,,,,,,,,,,
138,11,,,,,,,,,,,,,,,,,,,,,,,,
140,11,,,,,,,,,,,,,,,,,,,,,,,,
142,11,,,,,,,,,,,,,,,,,,,,,,,,
144,12,,,,,,,,,,,,,,,,,,,,,,,,
146,12,,,,,,,,,,,,,,,,,,,,,,,,
148,12,,,,,,,,,,,,,,,,,,,,,,,,
150,12,,,,,,,,,,,,,,,,,,,,,,,,
152,12,,,,,,,,,,,,,,,,,,,,,,,,
154,12,,,,,,,,,,,,,,,,,,,,,,,,
156,12,,,,,,,,,,,,,,,,,,,,,,,,
158,13,,,,,,,,,,,,,,,,,,,,,,,,
160,13,,,,,,,,,,,,,,,,,,,,,,,,
162,12,,,,,,,,,,,,,,,,,,,,,,,,
164,13,,,,,,,,,,,,,,,,,,,,,,,,
166,13,,,,,,,,,,,,,,,,,,,,,,,,
168,14,,,,,,,,,,,,,,,,,,,,,,,,
170,14,,,,,,,,,,,,,,,,,,,,,,,,
172,18,,,,,,,,,,,,,,,,,,,,,,,,
174,14,,,,,,,,,,,,,,,,,,,,,,,,
176,14,,,,,,,,,,,,,,,,,,,,,,,,
178,14,,,,,,,,,,,,,,,,,,,,,,,,
180,14,,,,,,,,,,,,,,,,,,,,,,,,
182,14,,,,,,,,,,,,,,,,,,,,,,,,
184,14,,,,,,,,,,,,,,,,,,,,,,,,
186,14,,,,,,,,,,,,,,,,,,,,,,,,
188,15,,,,,,,,,,,,,,,,,,,,,,,,
190,17,,,,,,,,,,,,,,,,,,,,,,,,
192,15,,,,,,,,,,,,,,,,,,,,,,,,
194,13,,,,,,,,,,,,,,,,,,,,,,,,
196,13,,,,,,,,,,,,,,,,,,,,,,,,
198,13,,,,,,,,,,,,,,,,,,,,,,,,
200,14,,,,,,,,,,,,,,,,,,,,,,,,
202,14,,,,,,,,,,,,,,,,,,,,,,,,
204,14,,,,,,,,,,,,,,,,,,,,,,,,
206,13,,,,,,,,,,,,,,,,,,,,,,,,
208,14,,,,,,,,,,,,,,,,,,,,,,,,
210,14,,,,,,,,,,,,,,,,,,,,,,,,
212,14,,,,,,,,,,,,,,,,,,,,,,,,
214,14,,,,,,,,,,,,,,,,,,,,,,,,
216,13,,,,,,,,,,,,,,,,,,,,,,,,
218,14,,,,,,,,,,,,,,,,,,,,,,,,
220,14,,,,,,,,,,,,,,,,,,,,,,,,
222,14,,,,,,,,,,,,,,,,,,,,,,,,
224,14,,,,,,,,,,,,,,,,,,,,,,,,
226,14,,,,,,,,,,,,,,,,,,,,,,,,
228,14,,,,,,,,,,,,,,,,,,,,,,,,
230,14,,,,,,,,,,,,,,,,,,,,,,,,
232,14,,,,,,,,,,,,,,,,,,,,,,,,
234,14,,,,,,,,,,,,,,,,,,,,,,,,
236,14,,,,,,,,,,,,,,,,,,,,,,,,
238,14,,,,,,,,,,,,,,,,,,,,,,,,
240,14,,,,,,,,,,,,,,,,,,,,,,,,
242,14,,,,,,,,,,,,,,,,,,,,,,,,
244,14,,,,,,,,,,,,,,,,,,,,,,,,
246,15,,,,,,,,,,,,,,,,,,,,,,,,
248,15,,,,,,,,,,,,,,,,,,,,,,,,
250,15,,,,,,,,,,,,,,,,,,,,,,,,
252,15,,,,,,,,,,,,,,,,,,,,,,,,
254,15,,,,,,,,,,,,,,,,,,,,,,,,
256,15,,,,,,,,,,,,,,,,,,,,,,,,
258,16,,,,,,,,,,,,,,,,,,,,,,,,
260,15,,,,,,,,,,,,,,,,,,,,,,,,
262,17,,,,,,,,,,,,,,,,,,,,,,,,
264,15,,,,,,,,,,,,,,,,,,,,,,,,
266,16,,,,,,,,,,,,,,,,,,,,,,,,
268,17,,,,,,,,,,,,,,,,,,,,,,,,
270,16,,,,,,,,,,,,,,,,,,,,,,,,
272,17,,,,,,,,,,,,,,,,,,,,,,,,
274,17,,,,,,,,,,,,,,,,,,,,,,,,
276,17,,,,,,,,,,,,,,,,,,,,,,,,
278,17,,,,,,,,,,,,,,,,,,,,,,,,
280,17,,,,,,,,,,,,,,,,,,,,,,,,
282,16,,,,,,,,,,,,,,,,,,,,,,,,
284,16,,,,,,,,,,,,,,,,,,,,,,,,
286,16,,,,,,,,,,,,,,,,,,,,,,,,
288,16,,,,,,,,,,,,,,,,,,,,,,,,
290,16,,,,,,,,,,,,,,,,,,,,,,,,
292,18,,,,,,,,,,,,,,,,,,,,,,,,
294,17,,,,,,,,,,,,,,,,,,,,,,,,
296,17,,,,,,,,,,,,,,,,,,,,,,,,
298,16,,,,,,,,,,,,,,,,,,,,,,,,
300,17,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 80000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,,,,,,,,,,,,,,,,,,,,,,,,
4,14,,,,,,,,,,,,,,,,,,,,,,,,
6,12,,,,,,,,,,,,,,,,,,,,,,,,
8,12,,,,,,,,,,,,,,,,,,,,,,,,
10,12,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,,,,
14,11,,,,,,,,,,,,,,,,,,,,,,,,
16,11,,,,,,,,,,,,,,,,,,,,,,,,
18,11,,,,,,,,,,,,,,,,,,,,,,,,
20,11,,,,,,,,,,,,,,,,,,,,,,,,
22,11,,,,,,,,,,,,,,,,,,,,,,,,
24,11,,,,,,,,,,,,,,,,,,,,,,,,
26,11,,,,,,,,,,,,,,,,,,,,,,,,
28,11,,,,,,,,,,,,,,,,,,,,,,,,
30,12,,,,,,,,,,,,,,,,,,,,,,,,
32,13,,,,,,,,,,,,,,,,,,,,,,,,
34,13,,,,,,,,,,,,,,,,,,,,,,,,
36,15,,,,,,,,,,,,,,,,,,,,,,,,
38,12,,,,,,,,,,,,,,,,,,,,,,,,
40,12,,,,,,,,,,,,,,,,,,,,,,,,
42,12,,,,,,,,,,,,,,,,,,,,,,,,
44,12,,,,,,,,,,,,,,,,,,,,,,,,
46,12,,,,,,,,,,,,,,,,,,,,,,,,
48,12,,,,,,,,,,,,,,,,,,,,,,,,
50,15,,,,,,,,,,,,,,,,,,,,,,,,
52,14,,,,,,,,,,,,,,,,,,,,,,,,
54,12,,,,,,,,,,,,,,,,,,,,,,,,
56,12,,,,,,,,,,,,,,,,,,,,,,,,
58,12,,,,,,,,,,,,,,,,,,,,,,,,
60,14,,,,,,,,,,,,,,,,,,,,,,,,
62,14,,,,,,,,,,,,,,,,,,,,,,,,
64,12,,,,,,,,,,,,,,,,,,,,,,,,
66,12,,,,,,,,,,,,,,,,,,,,,,,,
68,13,,,,,,,,,,,,,,,,,,,,,,,,
70,13,,,,,,,,,,,,,,,,,,,,,,,,
72,13,,,,,,,,,,,,,,,,,,,,,,,,
74,14,,,,,,,,,,,,,,,,,,,,,,,,
76,14,,,,,,,,,,,,,,,,,,,,,,,,
78,15,,,,,,,,,,,,,,,,,,,,,,,,
80,13,,,,,,,,,,,,,,,,,,,,,,,,
82,13,,,,,,,,,,,,,,,,,,,,,,,,
84,16,,,,,,,,,,,,,,,,,,,,,,,,
86,15,,,,,,,,,,,,,,,,,,,,,,,,
88,15,,,,,,,,,,,,,,,,,,,,,,,,
90,14,,,,,,,,,,,,,,,,,,,,,,,,
92,14,,,,,,,,,,,,,,,,,,,,,,,,
94,14,,,,,,,,,,,,,,,,,,,,,,,,
